ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,Personal_Loan,Securities_Account,CD_Account,Online,CreditCard,Age_Group,major_city,state
1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0,20-29,Pasadena,CA
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0,40-49,Los Angeles,CA
3,39,15,11,94720,1,1.0,1,0,0,0,0,0,0,30-39,Berkeley,CA
4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0,30-39,San Francisco,CA
5,35,8,45,91330,4,1.0,2,0,0,0,0,0,1,30-39,Northridge,CA
6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0,30-39,San Diego,CA
7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0,50-59,Claremont,CA
8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1,50-59,Monterey,CA
9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0,30-39,Los Angeles,CA
10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0,30-39,Ojai,CA
11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0,60-69,Berkeley,CA
12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0,20-29,Redondo Beach,CA
13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0,40-49,Santa Barbara,CA
14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0,50-59,Belvedere Tiburon,CA
15,67,41,112,91741,1,2.0,1,0,0,1,0,0,0,60-69,Glendora,CA
16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1,60-69,Santa Clara,CA
17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0,30-39,Capitola,CA
18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0,40-49,Stanford,CA
19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0,40-49,Studio City,CA
20,55,28,21,94720,1,0.5,2,0,0,1,0,0,1,50-59,Berkeley,CA
21,56,31,25,94015,4,0.9,2,111,0,0,0,1,0,50-59,Daly City,CA
22,57,27,63,90095,3,2.0,3,0,0,0,0,1,0,50-59,Los Angeles,CA
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0,20-29,Redondo Beach,CA
24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0,40-49,Newbury Park,CA
25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1,30-39,Arcata,CA
26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0,40-49,Stanford,CA
27,40,16,83,95064,4,0.2,3,0,0,0,0,0,0,40-49,Santa Cruz,CA
